TINY,19,170,1145
SMALL_LOW_DELAY,9,9,474
SMALL_MODERATE_DELAY,9,85,550
SMALL_HIGH_DELAY,9,107,572
MEDIUM_LOW_DELAY,4,4,218
MEDIUM_MODERATE_DELAY,4,42,256
MEDIUM_HIGH_DELAY,4,53,267
LARGE_LOW_DELAY,2,2,86
LARGE_MODERATE_DELAY,2,21,105
LARGE_HIGH_DELAY,2,26,110
